Animal;Id.corral;Maquina;consumo.dia;consumo.tot;peso.ini;peso.fin;GMD;TV;TM;TD;VS;MS;FR;ganancia;IC
246;Nedap-2;Nedap;1717,39823;194,066;28,14583333;112;748,6979167;17,66371681;15,47787611;67,18259587;97,22745491;110,9582619;20,3070818;83,85416667;2,293846679
313;Exafan-2;Exafan;1551,880616;173,810629;16,21333333;95,66833333;722,3181818;14,00892857;14,00892857;43,96875;110,7779662;110,7779662;47,02319055;79,455;2,148472315
316;Nedap-2;Nedap;1576,3125;176,547;25,5;115;806,3063063;9,669642857;9,321428571;63,07782738;163,0166205;169,1063218;23,05007329;89,5;1,954979749
328;Exafan-2;Exafan;1570,52145;174,327881;20,89333333;112,1711111;829,7979798;15,3963964;15,3963964;39,46021021;102,0057817;102,0057817;40,92068944;91,27777778;1,892655187
332;Nedap-1;Nedap;1600,300885;180,834;30,53409091;105;664,8741883;10,26548673;9,327433628;60,37684366;155,8913793;171,56926;26,66159239;74,46590909;2,406922863
334;Exafan-4;Exafan;1403,323661;157,17225;19,66533333;94,36;679,0424242;12,59821429;12,59821429;48,81904762;111,3906804;111,3906804;33,03384563;74,69466667;2,066621481
342;Exafan-3;Exafan;1514,897937;168,153671;17,78333333;114,2383333;876,8636364;5,783783784;5,783783784;57,5539039;261,9216059;261,9216059;25,0783955;96,455;1,727632296
348;Schauer-1;Schauer;1846,622642;195,742;28,23404255;113,95;772,2158329;19,53773585;17,99056604;85,95188679;94,5156929;102,6439434;28,33454774;85,71595745;2,391329681
360;Nedap-1;Nedap;1338,160714;149,874;26,4;92,78571429;598,0694981;10,89285714;10,33035714;54,47574405;122,847541;129,5367329;23,04937738;66,38571429;2,237466914
361;Exafan-3;Exafan;1723,590839;193,042174;22,51285714;96,8625;675,9058442;13,61607143;13,60714286;64,64315476;126,5850321;126,6680932;27,17661206;74,34964286;2,550045771
362;Nedap-2;Nedap;1481,442478;167,403;27,375;98,5;635,0446429;13,09734513;10,86725664;68,76371681;113,1101351;136,3216612;19,61501543;71,125;2,332816274
363;Nedap-2;Nedap;1530,392857;171,404;27,41071429;116,5;802,6061776;15,71428571;14,96428571;55,878125;97,38863636;102,2696897;24,11032529;89,08928571;1,906779314
366;Nedap-2;Nedap;1570,142857;175,856;34,67307692;100,1363636;589,7593398;14,83928571;14,16071429;74,07514881;105,8098676;110,8802018;19,54696635;65,46328671;2,662345047
372;Exafan-1;Exafan;1711,886583;184,883751;19,19571429;108,4528571;804,1184041;15,38888889;15,38888889;50,21358025;111,2417274;111,2417274;34,17929211;89,25714286;2,128898648
373;Exafan-2;Exafan;1652,593348;185,090455;19,05125;108,4133333;812,3825758;15,44642857;15,4375;47,21309524;106,9887023;107,0505813;45,50695829;89,36208333;2,034255039
374;Schauer-2;Schauer;1989,651786;222,841;32,20465116;111,35;713,0211607;14,55357143;12,47321429;60,24107143;136,7122699;159,5139585;39,92810445;79,14534884;2,790452648
375;Schauer-2;Schauer;1946,00885;219,899;33,872;120,8;776,1428571;11,56637168;8,238938053;139,8591445;168,2471308;236,1965628;33,70492817;86,928;2,507281787
378;Nedap-1;Nedap;1692,318584;191,232;25,0625;121,375;859,9330357;10,5840708;10,19469027;55,49852507;159,8929766;166;28,8821717;96,3125;1,967965544
380;Exafan-2;Exafan;1626,148375;182,128618;19,95933333;108,6857143;806,6034632;11,375;11,375;53,54315476;142,9580989;142,9580989;30,16983696;88,72638095;2,016044375
381;Exafan-4;Exafan;1711,608455;191,700147;18,44;102,3533333;762,8484848;14,4375;14,4375;55,20372024;118,5529666;118,5529666;35,30301332;83,91333333;2,243706961
386;Exafan-1;Exafan;1412,843167;152,587062;14,4;99,52333333;766,8768769;11,13888889;11,13888889;52,8970679;126,838788;126,838788;29,05248394;85,12333333;1,842333769
392;Schauer-2;Schauer;2040,675676;226,515;21,35;125,1;926,3392857;9,459459459;8,072072072;95,8533033;215,7285714;252,8069196;32,62274491;103,75;2,202946272
394;Schauer-2;Schauer;1829,176991;206,697;31,54285714;122,4;811,2244898;8,628318584;6,884955752;86,73569322;211,9969231;265,6773779;42,23140814;90,85714286;2,25483453
397;Exafan-1;Exafan;1592,138111;171,950916;18,6625;116,25;879,1666667;13,73148148;13,73148148;56,82067901;115,9480216;115,9480216;26,55910296;97,5875;1,81096278
398;Exafan-3;Exafan;1662,475829;184,534817;21,79222222;104,8622222;755,1818182;8,612612613;8,612612613;56,58183183;193,0280513;193,0280513;30,23293531;83,07;2,201424596
399;Exafan-4;Exafan;1487,963189;165,163914;13,8;94,19;730,8181818;10,22522523;10,22522523;60,8;145,518867;145,518867;25,50684157;80,39;2,036023769
401;Nedap-1;Nedap;1496,955752;169,156;29,97;102,5;647,5892857;11,20353982;10,3539823;51,53141593;133,614534;144,5777778;26,857324;72,53;2,311582025
404;Exafan-3;Exafan;1136,51225;127,289372;20,61;105,8544444;767,967968;10,09821429;10,09821429;52,48199405;112,5458638;112,5458638;23,82618956;85,24444444;1,479895383
406;Schauer-2;Schauer;1628,345133;184,003;30,65277778;105;663,8144841;17,31858407;13,92035398;75,09336283;94,02299438;116,9758423;33,1042352;74,34722222;2,453012358
408;Nedap-2;Nedap;1984,380531;224,235;27;129,8333333;918,1547619;10,52212389;10,23893805;57,77418879;188,5912532;193,8072602;31,9721165;102,8333333;2,161270206
409;Exafan-1;Exafan;1938,160377;205,445;19,1188;114,1177778;863,6270707;8,867924528;8,867924528;58,23333333;218,5585106;218,5585106;34,09315615;94,99897778;2,244209848
410;Exafan-3;Exafan;1395,312327;140,926545;27,62;102,9030769;684,3916084;11,43564356;11,43564356;40,67508251;122,0143247;122,0143247;33,961623;75,28307692;2,038763056
411;Exafan-4;Exafan;1753,927375;196,439866;25,2625;106,78875;734,4707207;9,125;9,125;55,08690476;192,2112192;192,2112192;33,00519538;81,52625;2,388015377
412;Exafan-4;Exafan;1868,538315;207,407753;18,180625;97,12375;717,6647727;12,67567568;12,67567568;46,23018018;147,4113383;147,4113383;41,73695401;78,943125;2,603636665
413;Exafan-4;Exafan;2168,75591;240,731906;21,395;106,95;777,7727273;9,63963964;9,63963964;59,40915916;224,9830897;224,9830897;39,46446368;85,555;2,788418562
414;Nedap-1;Nedap;1786,663717;201,893;30,265625;102,625;646,0658482;10,0619469;9,247787611;49,46946903;177,5664028;193,1990431;34,26772587;72,359375;2,765451419
416;Exafan-1;Exafan;1622,991324;175,283063;17,31;120,7457143;931,8532819;11,2962963;11,28703704;44,56790123;143,6746418;143,7925045;34,76250787;103,4357143;1,741681181
417;Exafan-2;Exafan;1787,706348;200,223111;18,668;110,25;825,0630631;12,53571429;12,53571429;44,7922619;142,6090534;142,6090534;39,12602432;91,582;2,166751159
418;Exafan-1;Exafan;1951,463406;206,855121;17,62588235;110,2788889;842,3000594;11,83962264;11,83962264;58,25235849;164,8247976;164,8247976;33,38050652;92,65300654;2,316826865
419;Exafan-2;Exafan;1630,934532;181,033733;18,06266667;118,1285714;909,6900433;14,05405405;14,05405405;45,3518018;116,0472647;116,0472647;38,91855816;100,0659048;1,792846414
421;Schauer-2;Schauer;1277,752212;144,386;17,9;83,8;588,3928571;10,12389381;6,857142857;75,39351032;126,2115385;188,0026042;29,57804984;65,9;2,171597083
422;Schauer-1;Schauer;1476,476636;157,983;29,77;109,3;710,0892857;10,69158879;8,504672897;126,9838006;138,097028;173,6076923;23,30054981;79,53;2,079283078
423;Exafan-2;Exafan;1471,213092;160,362227;17,6075;101,32625;761,0795455;11,44954128;11,44954128;43,34434251;128,4953742;128,4953742;47,70496416;83,71875;1,933060875
426;Exafan-3;Exafan;1866,415857;209,038576;21,00833333;111,0475;811,1636637;15,69642857;15,69642857;55,47886905;118,9070398;118,9070398;34,50358469;90,03916667;2,300911568
434;Exafan-1;Exafan;1667,356278;180,074478;22,71133333;120,944;893,0242424;13,39814815;13,39814815;70,60848765;124,4467713;124,4467713;23,48930091;98,23266667;1,867089602
435;Exafan-3;Exafan;1810,794856;200,998229;15,6125;99,77666667;765,1287879;9,846846847;9,846846847;59,82702703;183,8959094;183,8959094;30,67988827;84,16416667;2,366653673
439;Nedap-1;Nedap;1342,053097;151,652;20,83333333;96,25;673,3630952;9,442477876;9,1875;51,40176991;142,1293346;147,3780369;26,92650736;75,41666667;1,993060069
440;Exafan-2;Exafan;1379,803099;153,158144;20,76545455;103,95375;756,2572314;14,73873874;14,72972973;36,72747748;93,61744743;93,67470581;45,6210136;83,18829545;1,824515577
444;Exafan-3;Exafan;1569,798324;174,247614;21,79875;107,6433333;780,405303;10,10810811;10,10810811;53,29204204;155,3009037;155,3009037;33,16595426;85,84458333;2,011516731
446;Nedap-1;Nedap;1261,619469;142,563;24,875;87;554,6875;11,31858407;10,66371681;49,94719764;111,4644253;118,3095436;29,0662235;62,125;2,274468902
448;Schauer-2;Schauer;1767,725664;199,753;31,38235294;112,7;726,0504202;14,68141593;12,2920354;82,70752212;120,4056661;143,8106551;34,47771142;81,31764706;2,434714745
449;Nedap-2;Nedap;1711,107143;143,733;44,25;101,25;686,746988;13,30952381;12,64285714;62,60634921;128,5626118;135,3418079;24,07304929;57;2,491612155
453;Exafan-4;Exafan;1388,996545;155,567613;15,49833333;82,74444444;611,3282828;18,39285714;18,39285714;34,45014881;75,51825874;75,51825874;40,34588336;67,24611111;2,272095998
460;Schauer-2;Schauer;1742,672566;196,922;30,46764706;107,7;689,5745798;12,97345133;9,575221239;143,5977876;134,3260573;181,9981516;22,65770331;77,23235294;2,527170544
461;Schauer-1;Schauer;1735;185,645;21,73703704;113,3;817,526455;19,57943925;18,12149533;284,4529595;88,61336516;95,74265085;24,445703;91,56296296;2,122255481
463;Exafan-4;Exafan;1689,744446;189,251378;29,6675;108,51875;710,3716216;14,83928571;14,83928571;42,32797619;113,8696619;113,8696619;43,52742915;78,85125;2,378676731
465;Schauer-1;Schauer;2306,588785;246,805;29,62941176;132,5;918,487395;13,08411215;11,70093458;135,4517134;176,2892857;197,1285942;36,00856521;102,8705882;2,511290626
467;Exafan-2;Exafan;1701,330393;190,549004;24,02;121,40125;877,3085586;5,669642857;5,669642857;56,88452381;300,0771717;300,0771717;38,6959768;97,38125;1,939261137
469;Schauer-1;Schauer;1628,962264;172,67;31,59677419;114,5;746,8759082;10,93396226;9,122641509;66,20550314;148,9818809;178,5625646;29,96195916;82,90322581;2,181034689
472;Schauer-2;Schauer;1825,455357;204,451;26,04444444;116,45;814,4644645;9,723214286;8,875;50,65907738;187,7419651;205,6851107;35,90636633;90,40555556;2,241295277
476;Nedap-2;Nedap;1610,150442;181,947;23,22222222;115,75;826,140873;7,123893805;6,654867257;55,94085546;226,021118;241,9507979;26,23687809;92,52777778;1,949002277
479;Nedap-1;Nedap;1324,3125;148,323;34;90,375;512,5;17,03571429;16,28828829;57,57247024;77,73742138;82,03705752;25,33900187;56,375;2,58402439
480;Exafan-4;Exafan;1470,283393;164,67174;21,865;101,1;713,8288288;12,65178571;12,65178571;35,93258929;116,2115314;116,2115314;38,37862728;79,235;2,059714225
481;Nedap-1;Nedap;768,2831858;86,816;26,75;106,1785714;709,1836735;13,19469027;11,97345133;37,29247788;58,22669349;64,16555802;35,81608814;79,42857143;1,083334564
483;Exafan-3;Exafan;1315,321802;146,00072;17,88;107,84;817,8181818;9,657657658;9,657657658;42,79594595;136,1947015;136,1947015;30,92122711;89,96;1,608330349
485;Nedap-1;Nedap;1665,292035;188,178;48,75;113,8333333;581,1011905;9,477876106;9,080357143;50,19955752;175,7030812;185,0324484;31,89989971;65,08333333;2,865752235
487;Schauer-1;Schauer;1616,579439;172,974;19,475;108,6;795,7589286;12,60747664;11,82242991;88,22492212;128,2238695;136,7383399;36,81194583;89,125;2,031493938
490;Nedap-2;Nedap;1307;147,691;27,7;89;547,3214286;12,00884956;10,73451327;56,36356932;108,8364038;121,7568013;19,69391165;61,3;2,387993475
494;Exafan-1;Exafan;1816,785519;196,212836;22,1625;133,5166667;1003,190691;13,10185185;13,10185185;53,95385802;138,6663152;138,6663152;29,73327281;111,3541667;1,811007155
495;Exafan-4;Exafan;1164,284795;130,399897;19,74166667;90,3425;636,0435435;12,86607143;12,86607143;65,97916667;90,49264192;90,49264192;18,41891916;70,60083333;1,830511144
496;Schauer-1;Schauer;1379,616822;147,619;26,27142857;101,7;673,4693878;12,85046729;11,07476636;68,91573209;107,3592727;124,5729958;36,25497588;75,42857143;2,048521948
498;Schauer-2;Schauer;1650,619469;186,52;39,93333333;108,1;608,6309524;11,53097345;9,973214286;82,27536873;143,1465848;166,9829902;32,25939896;68,16666667;2,712020252
501;Nedap-2;Nedap;1376,858407;155,585;24,84375;96,5;639,7879464;13,16814159;12,5840708;63,76047198;104,5598118;109,4127989;17,23558243;71,65625;2,152054309
506;Schauer-1;Schauer;1420,377358;150,56;25,74230769;97,15;643,3125433;13,23584906;12,39622642;51,49685535;107,3129009;114,5814307;34,43625236;71,40769231;2,207911805
507;Exafan-2;Exafan;2129,209714;238,471488;19,235;107,331;793,6576577;10,34821429;10,34821429;66,10193452;205,756245;205,756245;33,89294975;88,096;2,682781038
